kota,link
Kota Tasikmalaya,https://id.wikipedia.org//wiki/Kota_Tasikmalaya
Kota Tebing Tinggi,https://id.wikipedia.org//wiki/Kota_Tebing_Tinggi
Kota Tegal,https://id.wikipedia.org//wiki/Kota_Tegal
Kota Ternate,https://id.wikipedia.org//wiki/Kota_Ternate
Kota Tidore Kepulauan,https://id.wikipedia.org//wiki/Kota_Tidore_Kepulauan
Kota Tomohon,https://id.wikipedia.org//wiki/Kota_Tomohon
Kota Tual,https://id.wikipedia.org//wiki/Kota_Tual
Kota Yogyakarta,https://id.wikipedia.org//wiki/Kota_Yogyakarta
Arcot,https://id.wikipedia.org//w/index.php?title=Arcot&action=edit&redlink=1
"Aurangabad, Maharashtra","https://id.wikipedia.org//wiki/Aurangabad,_Maharashtra"
Ballabhgarh,https://id.wikipedia.org//w/index.php?title=Ballabhgarh&action=edit&redlink=1
Baramati,https://id.wikipedia.org//w/index.php?title=Baramati&action=edit&redlink=1
Barrackpur,https://id.wikipedia.org//w/index.php?title=Barrackpur&action=edit&redlink=1
"Betul, Goa","https://id.wikipedia.org//w/index.php?title=Betul,_Goa&action=edit&redlink=1"
Bhilai,https://id.wikipedia.org//w/index.php?title=Bhilai&action=edit&redlink=1
Bhusawal,https://id.wikipedia.org//w/index.php?title=Bhusawal&action=edit&redlink=1
Bokaro Steel City,https://id.wikipedia.org//w/index.php?title=Bokaro_Steel_City&action=edit&redlink=1
Chamba,https://id.wikipedia.org//w/index.php?title=Chamba&action=edit&redlink=1
Chandrapur,https://id.wikipedia.org//w/index.php?title=Chandrapur&action=edit&redlink=1
Chitrakoot,https://id.wikipedia.org//w/index.php?title=Chitrakoot&action=edit&redlink=1
Dabra,"https://id.wikipedia.org//w/index.php?title=Dabra,_Gwalior&action=edit&redlink=1"
Datia,https://id.wikipedia.org//w/index.php?title=Datia&action=edit&redlink=1
Dewas,https://id.wikipedia.org//w/index.php?title=Dewas&action=edit&redlink=1
Dhule,https://id.wikipedia.org//w/index.php?title=Dhule&action=edit&redlink=1
